YYDD,Photons,Type
1949271,5.02,5
1949272,4.98,5
1949273,5.02,5
1949274,5.1,5
1949275,5.18,5
1949276,5.28,5
1949277,5.39,5
1949278,5.54,5
1949279,5.6,5
1949280,5.63,5
1949281,5.63,5
1949282,5.63,5
1949283,5.62,5
1949284,5.59,5
1949285,5.57,5
1949286,5.51,5
1949287,5.44,5
1949288,5.39,5
1949289,5.33,5
1949290,5.25,5
1949291,5.16,5
1949292,5.09,5
1949293,5.07,5
1949294,5.07,5
1949295,5.11,5
1949296,5.15,5
1949297,5.11,5
1949298,5.04,5
1949299,4.99,5
1949300,5.02,5
1949301,5.06,5
1949302,5.08,5
1949303,5.09,5
1949304,5.09,5
1949305,5.09,5
1949306,5.13,5
1949307,5.18,5
1949308,5.23,5
1949309,5.28,5
1949310,5.36,5
1949311,5.46,5
1949312,5.51,5
1949313,5.46,5
1949314,5.39,5
1949315,5.3,5
1949316,5.28,5
1949317,5.26,5
1949318,5.31,5
1949319,5.36,5
1949320,5.44,5
1949321,5.45,5
1949322,5.41,5
1949323,5.31,5
1949324,5.2,5
1949325,5.12,5
1949326,5.07,5
1949327,5.1,5
1949328,5.14,5
1949329,5.17,5
1949330,5.15,5
1949331,5.15,5
1949332,5.16,5
1949333,5.21,5
1949334,5.23,5
1949335,5.22,5
1949336,5.2,5
1949337,5.18,5
1949338,5.17,5
1949339,5.17,5
1949340,5.17,5
1949341,5.19,5
1949342,5.17,5
1949343,5.16,5
1949344,5.16,5
1949345,5.2,5
1949346,5.24,5
1949347,5.21,5
1949348,5.17,5
1949349,5.08,5
1949350,5.07,5
1949351,5.04,5
1949352,5.02,5
1949353,4.96,5
1949354,4.91,5
1949355,4.92,5
1949356,4.94,5
1949357,4.97,5
1949358,4.97,5
1949359,4.99,5
1949360,5.0,5
1949361,5.02,5
1949362,5.02,5
1949363,5.02,5
1949364,4.99,5
1949365,4.96,5
1950001,4.94,5
1950002,4.94,5
1950003,4.93,5
1950004,4.93,5
1950005,4.91,5
1950006,4.87,5
1950007,4.82,5
1950008,4.76,5
1950009,4.72,5
1950010,4.7,5
1950011,4.73,5
1950012,4.76,5
1950013,4.78,5
1950014,4.78,5
1950015,4.78,5
1950016,4.77,5
1950017,4.77,5
1950018,4.79,5
1950019,4.89,5
1950020,4.98,5
1950021,5.06,5
1950022,5.08,5
1950023,5.13,5
1950024,5.14,5
1950025,5.1,5
1950026,5.03,5
1950027,4.99,5
1950028,4.97,5
1950029,4.94,5
1950030,4.87,5
1950031,4.8,5
1950032,4.75,5
1950033,4.72,5
1950034,4.68,5
1950035,4.64,5
1950036,4.58,5
1950037,4.55,5
1950038,4.52,5
1950039,4.54,5
1950040,4.56,5
1950041,4.62,5
1950042,4.71,5
1950043,4.8,5
1950044,4.88,5
1950045,4.99,5
1950046,5.06,5
1950047,5.12,5
1950048,5.13,5
1950049,5.16,5
1950050,5.2,5
1950051,5.18,5
1950052,5.14,5
1950053,5.05,5
1950054,4.97,5
1950055,4.88,5
1950056,4.81,5
1950057,4.76,5
1950058,4.73,5
1950059,4.69,5
1950060,4.66,5
1950061,4.68,5
1950062,4.7,5
1950063,4.73,5
1950064,4.76,5
1950065,4.84,5
1950066,4.89,5
1950067,4.95,5
1950068,4.99,5
1950069,5.0,5
1950070,5.0,5
1950071,4.96,5
1950072,4.96,5
1950073,4.96,5
1950074,4.94,5
1950075,4.91,5
1950076,4.86,5
1950077,4.81,5
1950078,4.75,5
1950079,4.73,5
1950080,4.7,5
1950081,4.7,5
1950082,4.68,5
1950083,4.69,5
1950084,4.69,5
1950085,4.69,5
1950086,4.73,5
1950087,4.77,5
1950088,4.84,5
1950089,4.87,5
1950090,4.87,5
1950091,4.88,5
1950092,4.92,5
1950093,4.97,5
1950094,5.01,5
1950095,5.03,5
1950096,5.06,5
1950097,5.1,5
1950098,5.12,5
1950099,5.12,5
1950100,5.08,5
1950101,5.08,5
1950102,5.06,5
1950103,5.1,5
1950104,5.11,5
1950105,5.13,5
1950106,5.09,5
1950107,5.07,5
1950108,5.03,5
1950109,4.95,5
1950110,4.89,5
1950111,4.87,5
1950112,4.93,5
1950113,5.01,5
1950114,5.07,5
1950115,5.13,5
1950116,5.17,5
1950117,5.17,5
1950118,5.13,5
1950119,5.08,5
1950120,5.03,5
1950121,5.02,5
1950122,5.0,5
1950123,5.01,5
1950124,5.04,5
1950125,5.09,5
1950126,5.13,5
1950127,5.15,5
1950128,5.16,5
1950129,5.13,5
1950130,5.08,5
1950131,5.02,5
1950132,4.98,5
1950133,4.94,5
1950134,4.89,5
1950135,4.84,5
1950136,4.85,5
1950137,4.89,5
1950138,4.98,5
1950139,5.02,5
1950140,5.04,5
1950141,5.01,5
1950142,5.0,5
1950143,5.01,5
1950144,5.03,5
1950145,5.02,5
1950146,4.98,5
1950147,4.91,5
1950148,4.85,5
1950149,4.79,5
1950150,4.76,5
1950151,4.72,5
1950152,4.71,5
1950153,4.7,5
1950154,4.72,5
1950155,4.71,5
1950156,4.69,5
1950157,4.67,5
1950158,4.67,5
1950159,4.7,5
1950160,4.74,5
1950161,4.77,5
1950162,4.78,5
1950163,4.78,5
1950164,4.77,5
1950165,4.77,5
1950166,4.77,5
1950167,4.74,5
1950168,4.71,5
1950169,4.68,5
1950170,4.65,5
1950171,4.64,5
1950172,4.64,5
1950173,4.65,5
1950174,4.66,5
1950175,4.68,5
1950176,4.71,5
1950177,4.71,5
1950178,4.68,5
1950179,4.62,5
1950180,4.6,5
1950181,4.58,5
1950182,4.56,5
1950183,4.54,5
1950184,4.53,5
1950185,4.55,5
1950186,4.59,5
1950187,4.63,5
1950188,4.66,5
1950189,4.66,5
1950190,4.65,5
1950191,4.63,5
1950192,4.6,5
1950193,4.57,5
1950194,4.57,5
1950195,4.58,5
1950196,4.6,5
1950197,4.6,5
1950198,4.66,5
1950199,4.72,5
1950200,4.78,5
1950201,4.8,5
1950202,4.8,5
1950203,4.79,5
1950204,4.76,5
1950205,4.72,5
1950206,4.7,5
1950207,4.67,5
1950208,4.65,5
1950209,4.63,5
1950210,4.62,5
1950211,4.62,5
1950212,4.59,5
1950213,4.59,5
1950214,4.61,5
1950215,4.63,5
1950216,4.62,5
1950217,4.57,5
1950218,4.54,5
1950219,4.5,5
1950220,4.47,5
1950221,4.44,5
1950222,4.41,5
1950223,4.4,5
1950224,4.41,5
1950225,4.43,5
1950226,4.45,5
1950227,4.44,5
1950228,4.47,5
1950229,4.5,5
1950230,4.54,5
1950231,4.55,5
1950232,4.54,5
1950233,4.52,5
1950234,4.52,5
1950235,4.51,5
1950236,4.51,5
1950237,4.48,5
1950238,4.43,5
1950239,4.37,5
1950240,4.31,5
1950241,4.27,5
1950242,4.26,5
1950243,4.24,5
1950244,4.21,5
1950245,4.16,5
1950246,4.14,5
1950247,4.15,5
1950248,4.16,5
1950249,4.16,5
1950250,4.14,5
1950251,4.13,5
1950252,4.12,5
1950253,4.14,5
1950254,4.16,5
1950255,4.2,5
1950256,4.24,5
1950257,4.28,5
1950258,4.29,5
1950259,4.3,5
1950260,4.31,5
1950261,4.3,5
1950262,4.28,5
1950263,4.25,5
1950264,4.22,5
1950265,4.19,5
1950266,4.16,5
1950267,4.14,5
1950268,4.13,5
1950269,4.12,5
1950270,4.11,5
1950271,4.1,5
1950272,4.09,5
1950273,4.09,5
1950274,4.11,5
1950275,4.11,5
1950276,4.09,5
1950277,4.08,5
1950278,4.07,5
1950279,4.09,5
1950280,4.1,5
1950281,4.14,5
1950282,4.17,5
1950283,4.21,5
1950284,4.22,5
1950285,4.22,5
1950286,4.22,5
1950287,4.25,5
1950288,4.29,5
1950289,4.31,5
1950290,4.29,5
1950291,4.25,5
1950292,4.18,5
1950293,4.12,5
1950294,4.06,5
1950295,4.04,5
1950296,4.01,5
1950297,4.01,5
1950298,4.02,5
1950299,4.03,5
1950300,4.03,5
1950301,4.05,5
1950302,4.1,5
1950303,4.12,5
1950304,4.11,5
1950305,4.1,5
1950306,4.13,5
1950307,4.17,5
1950308,4.21,5
1950309,4.27,5
1950310,4.29,5
1950311,4.28,5
1950312,4.26,5
1950313,4.26,5
1950314,4.25,5
1950315,4.23,5
1950316,4.19,5
1950317,4.18,5
1950318,4.2,5
1950319,4.21,5
1950320,4.19,5
1950321,4.14,5
1950322,4.09,5
1950323,4.05,5
1950324,4.03,5
1950325,4.02,5
1950326,4.0,5
1950327,3.98,5
1950328,3.97,5
1950329,4.0,5
1950330,4.03,5
1950331,4.08,5
1950332,4.12,5
1950333,4.15,5
1950334,4.17,5
1950335,4.19,5
1950336,4.21,5
1950337,4.21,5
1950338,4.21,5
1950339,4.22,5
1950340,4.25,5
1950341,4.3,5
1950342,4.33,5
1950343,4.34,5
